artist_name,total_minutes,track_count,genres
Dolu Kadehi Ters Tut,5301.622966666667,80,"turkish alt pop, turkish rock"
Don Toliver,1141.4867666666669,53,rap
Donny Hathaway,105.2978,11,"chicago soul, classic soul, funk, neo soul, quiet storm, soul, southern soul"
Drake,847.7816666666666,78,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Dua Lipa,597.0964,25,"dance pop, pop, uk pop"
Duman,1833.7842333333333,70,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock"
Düş Sokağı Sakinleri,39.16936666666667,11,"turkish pop, turkish rock"
EDIS,2263.3789333333334,31,turkish pop
Ebru Gündeş,60.34858333333333,11,"arabesk, turkish folk, turkish pop"
Ed Sheeran,268.24975,28,"pop, singer-songwriter pop, uk pop"
Elderbrook,156.20866666666666,12,uk dance
Elvis Presley,350.7723833333333,33,"rock-and-roll, rockabilly"
Eminem,1380.0198833333334,120,"detroit hip hop, hip hop, rap"
Emir Can İğrek,321.4173666666667,21,"turkish alt pop, turkish pop, turkish rock"
Eric Clapton,908.9684333333332,11,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock"
Erkin Koray,163.52538333333334,17,anadolu rock
Erol Evgin,95.9415,12,turkish pop
Etta James,117.65781666666666,16,"jazz blues, soul, soul blues, torch song, vocal jazz"
Evdeki Saat,521.6350833333333,16,"turkish alt pop, turkish alternative rock, turkish rock"
Ezhel,879.8717833333334,34,"turkish hip hop, turkish trap"
Fall Out Boy,28.224916666666665,12,"emo, modern rock, pop, rock"
Felukah,71.12213333333334,11,"egyptian hip hop, indie r&b"
Feridun Düzağaç,292.44028333333335,30,"anadolu rock, turkish pop, turkish rock"
Fikret Kızılok,418.3507,25,"anadolu rock, turkish folk, turkish jazz, turkish rock, turkish singer-songwriter"
Fleetwood Mac,149.1415,12,"album rock, classic rock, rock, soft rock, yacht rock"
Florence + The Machine,43.82436666666667,16,"baroque pop, modern rock, neo mellow, uk alternative pop"
Flört,124.21415,20,"turkish alternative rock, turkish psych, turkish rock"
Foals,106.42695,12,"alternative dance, garage rock, indie rock, indietronica, modern alternative rock, modern rock, neo-synthpop, oxford indie, shimmer pop"
Foster The People,154.76666666666668,15,"indietronica, modern alternative rock, modern rock, rock"
Frank Ocean,583.7747166666667,31,"lgbtq+ hip hop, neo soul"
Frank Sinatra,128.34301666666667,24,"adult standards, easy listening, lounge"
Franz Ferdinand,318.0077333333333,37,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock"
Françoise Hardy,146.09265,25,"chanson, ye ye"
Freddie Mercury,73.88285,20,glam rock
Future,99.30926666666667,22,"atl hip hop, hip hop, rap, southern hip hop, trap"
G-Eazy,190.65391666666667,18,"indie pop rap, oakland hip hop, pop rap, rap"
Gaye Su Akyol,212.00393333333332,13,"turkish alternative, turkish jazz, turkish rock"
Gece,378.47745,11,clap and tap
Gloria Gaynor,66.4312,12,"disco, soft rock"
Gorillaz,143.54856666666666,19,"alternative hip hop, modern rock, rock"
Green Day,88.17595,17,"modern rock, permanent wave, punk, rock"
Gripin,323.37028333333336,18,"turkish alternative, turkish pop, turkish rock"
Guns N' Roses,718.5118,34,"glam metal, hard rock, rock"
Gökhan Türkmen,84.08628333333333,17,turkish pop
Gökhan Özen,179.38035,17,turkish pop
Göksel,190.59455,15,"turkce slow sarkilar, turkish pop"
Gülşen,448.39976666666666,39,turkish pop
Gündoğarken,60.71221666666667,14,
Güneş,851.8580166666667,35,turkce kadin rap
Güntaç Özdemir,442.8358166666667,14,turkish rock
H&J BGMC,12972.341916666666,328,
Hadise,207.87055,25,"turkish deep house, turkish pop"
Haluk Levent,172.00735,21,"anadolu rock, turkish pop, turkish rock"
Hande Yener,599.6558666666666,44,turkish pop
Harry Styles,80.24823333333333,13,pop
Hayden James,92.32271666666666,17,"aussietronica, gauze pop, house"
Hepsi,314.14478333333335,31,
Hozier,218.62128333333337,17,"irish singer-songwriter, modern rock, pop, pov: indie"
Hurts,121.87035,31,"metropopolis, neo-synthpop"
INJI,338.12586666666664,17,
INNA,58.36055,12,"dance pop, romanian house, romanian pop"
Imagine Dragons,535.0157833333334,60,"modern rock, pop, rock"
JAY-Z,35.699416666666664,12,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Jakuzi,849.3633666666667,20,turkish alternative rock
James Blake,142.9454,20,"art pop, indie soul, indietronica, uk alternative pop"
Janis Joplin,126.95773333333334,17,"album rock, classic rock, hard rock, psychedelic rock, rock"
Jason Derulo,130.67845,12,"dance pop, pop"
Jazz & Study Playlist,598.4199333333333,119,
Jeff Buckley,326.8367166666667,32,"melancholia, permanent wave, singer-songwriter"
Jehan Barbur,105.31301666666668,16,"turkish jazz, turkish rock, turkish singer-songwriter"
Johann Sebastian Bach,51.6671,14,"baroque, classical, early music, german baroque"
Johannes Bornlöf,130.33103333333332,11,focus
John Lennon,206.26161666666667,20,"classic rock, rock"
John Mayer,48.731633333333335,11,"neo mellow, singer-songwriter"
Joji,49.763466666666666,13,
Jorja Smith,100.6878,12,"r&b, uk contemporary r&b"
Josh Garrels,105.56851666666668,25,"christian indie, indy indie, roots worship"
Joy Division,100.81806666666668,11,"alternative rock, indie rock, madchester, new wave, post-punk, punk, rock, uk post-punk"
Justin Bieber,233.11975,24,"canadian pop, pop"
Justin Timberlake,357.36263333333335,31,"dance pop, pop"
Jóhann Jóhannsson,26.300383333333333,16,"compositional ambient, experimental classical, icelandic classical, icelandic experimental, nordic soundtrack, soundtrack"
Kaan Boşnak,1923.33335,15,"turkish alt pop, turkish rock"
Kahraman Deniz,76.97231666666667,12,"turkish hip hop, turkish pop, turkish rock"
Kalben,1368.5631166666667,57,"turkish rock, turkish singer-songwriter"
Kamuran Akkor,18.339483333333337,12,"anadolu rock, arabesk, turk sanat muzigi, turkish psych"
Kanye West,1110.6476333333333,62,"chicago rap, hip hop, rap"
Karavelo,133.82843333333332,15,focus beats
Karsu,312.46006666666665,19,"turkish alt pop, turkish rock"
Katy Perry,190.2203,17,pop
Kenan Doğulu,1714.77545,72,turkish pop
Kendrick Lamar,216.29448333333335,24,"conscious hip hop, hip hop, rap, west coast rap"
Kesha,84.42898333333333,13,"dance pop, pop"
Khalid,161.08118333333334,15,"pop, pop r&b"
Khontkar,54.51801666666667,13,"turkish hip hop, turkish trap"
Khruangbin,97.03746666666666,12,"indie soul, neo-psychedelic, world"
Kid Cudi,202.15301666666667,12,"hip hop, ohio hip hop, pop rap, rap"
Kupla,70.22251666666666,12,"anime lo-fi, lo-fi beats"
Kygo,66.44908333333333,13,"edm, pop, pop dance, tropical house"
KÖFN,737.42985,13,"turkish alt pop, turkish pop"
Kıraç,193.9715,18,"anadolu rock, turkish pop, turkish rock"
Kıvılcım Ural,218.30548333333337,12,turkish singer-songwriter
L'Impératrice,91.03468333333332,12,
LP,243.7044,15,"alternative pop rock, neon pop punk, pop emo, texas pop punk"
Lady Gaga,220.79255,23,"art pop, dance pop, pop"
Lana Del Rey,541.5896833333334,63,"art pop, pop"
Led Zeppelin,284.74111666666664,19,"album rock, classic rock, hard rock, rock"
Leonard Cohen,324.50151666666665,27,"canadian singer-songwriter, melancholia, permanent wave, singer-songwriter"
Lil Uzi Vert,45.86833333333333,14,"hip hop, melodic rap, philly rap, rage rap, rap, trap"
Lil Wayne,119.92576666666666,18,"hip hop, new orleans rap, pop rap, rap, trap"
Lil Zey,1390.4628333333333,22,"turkce kadin rap, turkish hip hop, turkish trap"
Lily Allen,68.0015,12,"dance pop, electropop, neo mellow"
Little Mix,52.245916666666666,11,"girl group, pop, talent show, uk pop"
LoFi Waiter,43.19736666666667,16,
Local Natives,126.36345,21,"chamber pop, indie rock, la indie, modern rock, shimmer pop, stomp and holler"
Lorde,219.45986666666667,29,
Lvbel C5,318.84201666666667,27,"turkce drill, turkish trap"
Lykke Li,398.0241,32,"art pop, electropop, indietronica, neo-synthpop, swedish electropop, swedish indie pop, swedish pop"
M Lisa,838.9546833333334,15,
MERO,37.99495,12,
MFÖ,890.7618333333334,76,"anadolu rock, turkish pop, turkish rock"
Mabel Matiz,463.896,34,turkish pop
Mac DeMarco,488.2380333333333,38,"edmonton indie, lo-fi indie, pov: indie, slacker rock"
Mac Miller,83.9125,14,"hip hop, pittsburgh rap, rap"
Madonna,242.12625,23,"dance pop, pop"
Madrigal,2007.479916666667,21,"turkish alt pop, turkish rock"
Malt,52.139133333333334,14,"indie anthem-folk, indie pop, pov: indie"
Manuş Baba,116.06061666666666,13,"turkish pop, turkish rock"
Mark Ronson,105.22116666666666,11,pop soul
Maroon 5,113.12465,15,pop
Mary J. Blige,153.03791666666666,16,"dance pop, hip pop, neo soul, r&b, urban contemporary"
Masego,523.4323333333333,19,"alternative r&b, indie soul"
Matt Maeson,686.3640666666666,31,pov: indie
Mavi Gri,644.7045666666667,17,"turkish alt pop, turkish rock"
Mazhar Alanson,453.97175,38,"turkish pop, turkish rock"
Melike Şahin,449.0215666666667,12,"turkish alt pop, turkish pop, turkish singer-songwriter"
Melis Fis,364.4608666666667,12,
Men I Trust,169.15998333333334,14,"indie pop, pov: indie"
Mert Demir,338.34003333333334,16,turkish alt pop
Metro Boomin,1156.9229,34,rap
Metronomy,419.4615666666666,22,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk"
Michael Jackson,188.37383333333332,14,"r&b, soul"
Michael Kiwanuka,264.7128,24,"british soul, neo soul, psychedelic soul, soul"
Michelle Gurevich,584.85475,22,slowcore
Mick Jagger,60.294016666666664,11,"classic rock, dance rock"
Miles Kane,36.96273333333333,12,"baroque pop, british indie rock, garage rock, modern rock"
Miley Cyrus,111.90613333333332,12,pop
Mirkelam,69.3915,15,turkish pop
Mirror Box,1180.1716666666666,32,
Model,524.7464,26,"turkish pop, turkish rock"
Moneybagg Yo,44.46326666666667,12,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
Monolink,1805.61085,49,"deep euro house, livetronica"
Motive,475.9316,36,
Murat Boz,37.42411666666667,17,turkish pop
Murat Dalkılıç,194.4588666666667,16,turkish pop
Murda,334.30496666666664,25,"basshall, turkish hip hop, turkish trap"
Mustafa Sandal,1185.2978,32,turkish pop
MØ,317.7194166666667,56,
Måneskin,188.1819,24,"indie rock italiano, italian pop"
Müslüm Gürses,173.33116666666666,18,arabesk
NTO,329.0081666666667,16,"indietronica, metropopolis, nu disco, shimmer pop"
Nature Tone,324.9635166666667,11,
Nazan Öncel,38.61333333333334,15,"turkish instrumental, turkish pop, turkish singer-songwriter"
Nick Cave & The Bad Seeds,87.49076666666667,15,"alternative rock, permanent wave, singer-songwriter"
Nicki Minaj,120.09108333333332,18,"hip pop, pop, queens hip hop, rap"
Nil Karaibrahimgil,927.9820166666668,43,"turkish folk, turkish pop, turkish singer-songwriter"
Nilipek.,606.7447666666667,14,"turkish rock, turkish singer-songwriter"
Nilüfer,52.876983333333335,16,turkish pop
Nilüfer Yanya,263.2630833333333,29,"art pop, experimental pop, uk alternative pop"
Nina Simone,227.51268333333337,18,"jazz blues, neo soul, soul, soul jazz, torch song, vocal jazz"
Nirvana,384.76435,46,"grunge, permanent wave, rock"
No Vacation,39.203833333333336,11,"chill dream pop, indie garage rock, indie pop, indie surf"
Nova Norda,207.43063333333333,17,"turkish alt pop, turkish rock"
Oasis,197.26908333333333,20,"beatlesque, britpop, madchester, permanent wave, rock"
Oh Wonder,257.28075,19,"electropop, indie poptimism, pov: indie"
One Direction,81.35598333333333,17,"boy band, pop, post-teen pop, talent show"
OneRepublic,132.35863333333333,18,"piano rock, pop"
Oscar and the Wolf,613.056,26,"belgian indie, belgian pop"
Ozan Doğulu,356.82773333333336,20,"karadeniz pop, turkish pop"
Ozbi,139.62575,13,"turkish hip hop, turkish rock"
Oğuzhan Koç,112.76348333333334,13,turkish pop
P!nk,99.23035,15,
Palmiyeler,470.0969166666667,20,"turkish alternative rock, turkish rock"
Pandaraps,101.85461666666669,11,lo-fi rap
Patti Smith,395.99095,35,"art punk, permanent wave, protopunk, singer-songwriter"
Pera,587.8219833333334,21,canti alpini
Peter Sandberg,59.925266666666666,11,focus
Peyk,58.51051666666667,12,"turkish jazz, turkish reggae, turkish rock"
Photogenic 100mm,663.1743833333334,14,
Pinhani,2918.90705,64,"oyun havasi, turkish pop, turkish rock"
Pink Floyd,720.69295,73,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
Pitbull,121.51005,12,"dance pop, miami hip hop, pop"
Placebo,70.49476666666666,14,"alternative rock, britpop, permanent wave, rock"
Post Malone,207.71381666666667,20,"dfw rap, melodic rap, pop, rap"
Queen,264.5758833333333,32,"classic rock, glam rock, rock"
RY X,85.40248333333334,13,"indie anthem-folk, indie folk"
Radiohead,444.7711166666666,44,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
Ramin Djawadi,173.48791666666668,14,"german soundtrack, orchestral soundtrack, scorecore, soundtrack"
Real Estate,57.02265,12,"chamber pop, chillwave, dreamo, experimental pop, indie rock, indietronica, lo-fi, neo-psychedelic, new jersey indie, noise pop, shimmer pop"
Reckol,396.5185666666667,15,"turkce drill, turkish hip hop"
Red Hot Chili Peppers,440.9372333333333,49,"alternative rock, funk metal, funk rock, permanent wave, rock"
Redd,163.8683,15,
Rex Orange County,92.06918333333331,11,bedroom pop
Reyhan Karaca,219.69978333333333,12,turkish pop
Reynmen,193.23166666666663,13,"turkish hip hop, turkish pop"
Rhye,88.0403,13,
Rihanna,356.73758333333336,41,"barbadian pop, pop, urban contemporary"
RÜFÜS DU SOL,1026.7953333333332,70,"australian electropop, indietronica"
Röyksopp,230.20503333333335,18,"downtempo, electronica, indietronica, neo-synthpop, trip hop"
SBTRKT,136.4899,18,"alternative dance, chillwave, electronica, future garage, indie soul, indietronica"
SL TIMER,416.06056666666666,15,
SZA,135.29658333333333,14,
Sabrina Carpenter,321.44966666666664,17,pop
Sade,217.26053333333337,13,
Sagopa Kajmer,132.37353333333334,22,"turkish hip hop, turkish trap"
Sam Cooke,125.13355,26,"classic soul, soul, vocal jazz"
Sam Smith,114.27278333333334,12,"pop, uk pop"
Sarcastic Sounds,59.111716666666666,15,"lo-fi chill, sad lo-fi"
Scorpions,339.49668333333335,34,"album rock, german hard rock, german metal, german rock, hard rock, rock"
Scott Bradlee's Postmodern Jukebox,146.7735833333333,22,"jazz cover, swing"
Sedef Sebüktekin,696.5701166666666,20,"turkish alt pop, turkish rock"
Sefo,889.56175,25,musical advocacy
Seksendört,360.39375,16,"turkish pop, turkish rock"
Selena Gomez,198.39608333333337,24,"pop, post-teen pop"
Semicenk,115.87043333333334,15,turkish pop
Sena Şener,363.7505166666666,17,"turkish alt pop, turkish modern jazz, turkish rock"
Serdar Ortaç,659.3560333333334,35,turkish pop
Sertab Erener,1057.2337333333332,47,"turkish jazz, turkish pop, turkish singer-songwriter"
Sezen Aksu,1263.4206333333334,79,turkish pop
Shakira,43.51278333333333,11,"colombian pop, dance pop, latin pop, pop"
Shawn Mendes,92.36981666666668,17,"canadian pop, pop, viral pop"
Sia,106.95576666666666,24,
Simge,304.89865,21,
Soft Eyez,51.70588333333333,11,lo-fi rap
Son Feci Bisiklet,1449.0396166666667,35,turkish rock
Soner Sarıkabadayı,49.0924,11,turkish pop
Stavroz,702.9686166666667,12,organic electronic
Sting,391.69305,11,
Study Jazz,86.19053333333333,31,dinner jazz
Sun Surf,659.8048666666666,18,
Sıla,222.04776666666663,24,turkish pop
Tame Impala,3229.348783333334,69,"australian psych, modern rock, neo-psychedelic, rock"
Tanaë,116.00968333333331,15,pop soul
Tanju Okan,109.90316666666666,16,"classic turkish pop, turkish jazz, turkish rock"
Tarkan,542.8341333333333,50,turkish pop
Taylor Swift,275.09995,45,pop
Teoman,3539.7144,85,turkish rock
The 1975,339.9049,46,"modern alternative rock, modern rock, pop, pov: indie, rock"
The Beatles,1620.1949166666666,259,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
The Blaze,282.0985166666667,21,new french touch
The Chainsmokers,321.86145,31,pop
The Doors,738.32675,54,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
The Dø,156.79293333333334,14,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
The Killers,87.93766666666667,11,"alternative rock, dance rock, modern rock, permanent wave, rock"
The Kooks,79.94313333333334,12,"brighton indie, garage rock, modern rock, rock"
The Last Shadow Puppets,545.2007,32,"baroque pop, modern rock, sheffield indie"
The Libertines,93.11375,14,"britpop, garage rock, garage rock revival, modern rock"
The Lumineers,109.27353333333332,14,"folk-pop, modern rock, neo mellow, stomp and holler"
The Neighbourhood,1008.0086,52,"modern alternative rock, modern rock, pop"
The Rolling Stones,432.91096666666664,64,"album rock, british invasion, classic rock, rock"
The Smiths,312.64663333333334,34,"madchester, new wave, permanent wave, rock, uk post-punk"
The Strokes,275.38126666666665,17,"alternative rock, garage rock, modern rock, permanent wave, rock"
The Velvet Underground,210.58656666666667,14,"alternative rock, melancholia, permanent wave, protopunk, rock"
The Weeknd,2489.5792333333334,100,"canadian contemporary r&b, canadian pop, pop"
The Who,102.345,17,"album rock, british invasion, classic rock, hard rock, rock"
The xx,97.11393333333334,16,"downtempo, dream pop, indietronica"
Thirty Seconds To Mars,78.6391,23,"modern rock, post-grunge"
Tiësto,100.30823333333332,17,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance"
Tom Jones,494.3398833333333,17,"adult standards, british invasion"
