title,overview,release_date,vote_average,vote_count,genres,original_language
The Abyss,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",1989-08-09,7.4,2994,"Adventure, Action, Thriller, Science Fiction",en
Pieces of a Woman,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",2020-12-30,7.033,1215,Drama,en
The Devil Wears Prada,"Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",2006-06-29,7.394,12082,"Drama, Comedy",en
Divergent,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",2014-03-14,6.915,12820,"Action, Adventure, Science Fiction",en
,"Lifelong friends Maddie, Helen and Dana Sue lift each other as they juggle relationships, family and careers in the small, Southern town of Serenity.",,7.768,235,Drama,en
Under the Tuscan Sun,"After a rough divorce, Frances, a 35-year-old professor and writer from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.",2003-09-20,6.9,874,"Romance, Comedy",en
,"Inspired by real events, this fictional dramatization shows Griselda Blanco's journey from Medellín to becoming ""the Godmother"" of Miami's drug empire.",,7.323,311,"Drama, Crime",en
,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",,8.231,5122,Drama,en
What Happens in Vegas,"During a wild vacation in Las Vegas, career woman Joy McNally and playboy Jack Fuller come to the sober realization that they have married each other after a night of drunken abandon. They are then compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",2008-05-07,6.1,3047,"Comedy, Romance",en
The Proposal,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",2009-06-02,7.154,6893,"Comedy, Romance, Drama",en
Pretty Woman,"While on a business trip in Los Angeles, Edward Lewis, a millionaire entrepreneur who makes a living buying and breaking up companies, picks up a prostitute, Vivian, while asking for directions; after, Edward hires Vivian to stay with him for the weekend to accompany him to a few social events, and the two get closer only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.",1990-03-23,7.467,8315,"Romance, Comedy",en
Last Call for Istanbul,"A chance meeting at the airport leads two married people to an unforgettable night full of excitement, desire, and temptation in New York City.",2023-11-24,6.5,116,"Romance, Drama",tr
The Holiday,"Two women, one from the United States and one from the United Kingdom, swap homes at Christmas time after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",2006-12-05,7.1,5165,"Comedy, Romance",en
The Tailor,A gender non-conforming person struggling to assert their identity unexpectedly finds courage in an aging master tailor.,2020-05-31,2.0,1,Drama,en
,"With never-before-seen footage, this docuseries follows David Beckham's meteoric rise from humble beginnings to global football stardom.",,8.1,131,Documentary,en
,"Life's extraordinary journey to conquer, adapt and survive on Earth across billions of years comes alive in this groundbreaking nature docuseries.",,8.0,158,Documentary,en
,An amphibious shark-like monster attacks an abandoned secret military base and the people who live on the island.,,4.8,67,Unknown,en
,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",,8.7,4673,"Drama, Family",en
,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",,8.6,2436,"Animation, Comedy, Drama",en
Pain Hustlers,"After losing her job, a single mom falls into a lucrative but ultimately dangerous scheme selling prescription drugs.",2023-10-20,6.6,629,Drama,en
,"Privacy is needed by all, but can all enter the private zone? Hoichoi presents “Do Not Disturb” narrating six stories happening at six rooms. Will you check in?",,0.0,0,Drama,bn
The Invention of Lying,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",2009-10-02,6.2,2113,"Comedy, Fantasy, Romance",en
Eat Pray Love,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",2010-08-12,6.2,2438,"Drama, Romance",en
