title,overview,release_date,vote_average,vote_count,genres,original_language
Doom of Love,"After his ad agency goes bankrupt, an indebted Fırat falls for a singer at a yoga retreat and joins her on a journey of self-realization.",2022-06-20,6.714,21,"Romance, Drama",tr
Xtreme,"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",2021-06-04,6.3,247,"Action, Adventure, Crime",es
Tau,"Held captive in a futuristic smart house, a woman hopes to escape by befriending the A.I. program that controls the house.",2018-06-29,6.155,1251,"Science Fiction, Thriller, Horror",en
Secrets of the Neanderthals,This documentary delves into the mysteries surrounding the Neanderthals and what their fossil record tells us about their lives and disappearance.,2024-05-02,7.0,28,Documentary,en
Instant Family,"When Pete and Ellie decide to start a family, they stumble into the world of foster care adoption. They hope to take in one small child but when they meet three siblings, including a rebellious 15 year old girl, they find themselves speeding from zero to three kids overnight.",2018-11-13,7.52,2964,"Comedy, Drama",en
,"A ragtag crew of podcasters sets out to investigate mysterious disappearances from decades earlier in a charming Irish town with dark, dreadful secrets.",,6.3,81,"Drama, Mystery",en
The Reader,"The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.",2008-12-10,7.472,3112,"Drama, Romance",en
Murder Mystery 2,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",2023-03-28,6.423,1705,"Mystery, Comedy, Crime",en
The Killer,"Zee is a feared contract killer known as ""the Queen of the Dead,"" but when she refuses to murder a young blind woman, she finds herself hunted both by criminal colleagues and a determined police detective.",2024-08-22,6.44,343,"Action, Thriller, Crime",en
Faithfully Yours,"Using each other as alibis, two friends sneak off to indulge in secret affairs — but their elaborate web of lies unravels when one of them goes missing.",2022-12-22,6.015,200,"Mystery, Thriller",nl
Extinction,"And suddenly, overnight, the world came to a halt. Two men, two survivors, one kid, and hatred that separates them. A place forgotten by everyone, including the creatures that inhabit the Earth... until now.",2015-08-07,6.215,668,"Action, Adventure, Drama, Horror, Science Fiction, Thriller",en
Awake,"After a sudden global event wipes out all electronics and takes away humankind’s ability to sleep, chaos quickly begins to consume the world. Only Jill, an ex-soldier with a troubled past, may hold the key to a cure in the form of her own daughter. The question is, can Jill safely deliver her daughter and save the world before she herself loses her mind.",2021-06-09,5.879,1064,"Drama, Science Fiction, Thriller",en
,Two teen ghosts work alongside a clairvoyant to solve mysteries for their supernatural clientele — until a powerful witch complicates their plans.,,7.8,232,"Drama, Mystery, Unknown",en
Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",2022-04-06,6.655,4536,"Fantasy, Adventure",en
Hack Your Health: The Secrets of Your Gut,Delve into the digestive system with this lighthearted and informative documentary that demystifies the role gut health plays in our overall well-being.,2024-04-26,6.8,35,Documentary,en
,"When a struggling comedian shows one act of kindness to a vulnerable woman, it sparks a suffocating obsession which threatens to wreck both their lives.",,7.6,761,Drama,en
,"A thrilling and raw crime drama following a gang of drug dealers in Hackney, London - an honest and gripping rendition of inner-city drug and gang culture.",,7.327,110,Drama,en
,"This stunning nature series narrated by Cate Blanchett explores the intelligence, resourcefulness and interconnectedness of life on our planet.",,8.2,12,Documentary,en
All Quiet on the Western Front,"At the start of World War I, Paul Baumer is a young German patriot, eager to fight. Indoctrinated with propaganda at school, he and his friends eagerly sign up for the army soon after graduation. But when the horrors of war soon become too much to bear, and as his friends die or become gravely wounded, Paul questions the sanity of fighting over a few hundreds yards of war-torn countryside.",1979-11-14,6.645,190,"War, Drama, TV Movie",en
Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2022-05-21,8.2,9391,"Action, Drama",en
Rebel Moon - Part Two: The Scargiver,"The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.",2024-04-19,6.11,1193,"Science Fiction, Action",en
Rebel Moon - Part One: A Child of Fire,"When the ruthless forces of the Motherworld threaten a quiet farming village on a distant moon, a mysterious outsider becomes its best hope for survival.",2023-12-15,6.294,2180,"Science Fiction, Drama, Action, War",en
Glass,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",2019-01-16,6.672,8510,"Thriller, Drama, Science Fiction",en
,"An old case is wrenched open when a reporter goes missing, leading his web sleuth daughter to a small mountain town haunted by a sect, secrecy and death.",,6.333,78,"Mystery, Crime, Drama",fr
The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,2016-12-16,6.028,5127,"Action, Adventure, Fantasy",en
